roll black pink score height start
1 4 1 5 1 0
2 3 4 10 1 0
3 4 4 20 1 0
4 3 1 5 1 0
5 5 1 10 1 0
6 2 4 5 1 0
7 3 2 5 1 0
8 2 5 10 1 0
9 4 1 5 1 0
10 3 4 10 1 0
11 2 2 1 1 0
12 1 1 1 1 0
13 4 4 20 1 0
14 3 3 20 1 0
15 2 4 5 1 0
16 4 5 15 1 0
17 1 4 5 1 0
18 4 2 5 1 0
19 2 2 1 1 0
20 1 2 0 1 0
21 1 1 1 1 0
22 2 4 5 1 0
23 1 2 0 1 0
24 1 1 1 1 0
25 4 2 5 1 0
26 1 4 5 1 0
27 4 4 20 1 0
28 2 1 0 1 0
29 3 1 5 1 0
30 2 4 5 1 0
31 4 2 5 1 0
32 3 4 10 1 0
33 4 2 5 1 0
34 2 3 5 1 0
35 2 1 0 1 0
36 2 4 5 1 0
37 1 4 5 1 0
38 2 2 1 1 0
39 4 4 20 1 0
40 1 4 5 1 0
41 1 2 0 1 0
42 4 4 20 1 0
43 1 6 15 1 0
44 2 1 0 1 0
45 1 2 0 1 0
46 2 1 0 1 0
47 1 1 1 1 0
48 1 1 1 1 0
49 2 4 5 1 0
50 1 1 1 1 0
51 4 2 5 1 0
52 4 1 5 1 0
53 1 3 5 1 0
54 5 2 10 1 0
55 1 1 1 1 0
56 2 2 1 1 0
57 1 2 0 1 0
58 2 1 0 1 0
59 1 2 0 1 0
60 2 2 1 1 0
61 3 1 5 1 0
62 1 2 0 1 0
63 4 2 5 1 0
64 1 2 0 1 0
65 4 1 5 1 0
66 2 6 15 1 0
67 2 1 0 1 0
68 1 1 1 1 0
69 1 1 1 1 0
70 2 2 1 1 0
71 2 2 1 1 0
72 2 2 1 1 0
73 1 1 1 1 0
74 2 1 0 1 0
75 1 1 1 1 0
76 2 2 1 1 0
77 1 4 5 1 0
78 1 4 5 1 0
79 2 4 5 1 0
80 2 2 1 1 0
81 2 2 1 1 0
82 2 2 1 1 0
83 5 4 15 1 0
84 2 2 1 1 0
85 1 2 0 1 0
86 4 2 5 1 0
87 4 3 10 1 0
88 2 1 0 1 0
89 2 2 1 1 0
90 1 2 0 1 0
91 4 4 20 1 0
92 1 1 1 1 0
93 4 2 5 1 0
94 4 1 5 1 0
95 2 4 5 1 0
96 1 1 1 1 0
97 2 2 1 1 0
98 4 4 20 1 0
99 4 2 5 1 0
100 4 2 5 1 0
101 3 4 10 1 0
102 4 2 5 1 0
103 1 1 1 1 0
104 4 2 5 1 0
105 1 1 1 1 0
106 2 2 1 1 0
107 1 4 5 1 0
108 3 4 10 1 0
109 2 4 5 1 0
110 4 6 20 1 0
111 2 3 5 1 0
112 2 1 0 1 0
113 2 5 10 1 0
114 1 5 10 1 0
115 4 4 20 1 0
116 2 1 0 1 0
117 3 3 20 1 0
118 4 2 5 1 0
119 1 1 1 1 0
120 1 2 0 1 0
121 2 1 0 1 0
122 2 2 1 1 0
123 2 1 0 1 0
124 1 3 5 1 0
125 1 6 15 1 0
126 2 1 0 1 0
127 4 1 5 1 0
128 4 4 20 1 0
129 1 5 10 1 0
130 1 1 1 1 0
131 1 5 10 1 0
132 2 2 1 1 0
133 2 1 0 1 0
134 2 5 10 1 0
135 1 2 0 1 0
136 2 4 5 1 0
137 2 1 0 1 0
138 3 4 10 1 0
139 3 2 5 1 0
140 4 2 5 1 0
141 2 4 5 1 0
142 2 1 0 1 0
143 3 1 5 1 0
144 2 2 1 1 0
145 2 4 5 1 0
146 4 3 10 1 0
147 4 4 20 1 0
148 1 1 1 1 0
149 5 1 10 1 0
150 4 3 10 1 0
151 4 1 5 1 0
152 2 1 0 1 0
153 3 2 5 1 0
154 4 1 5 1 0
155 1 4 5 1 0
156 1 1 1 1 0
157 2 2 1 1 0
158 1 4 5 1 0
159 4 1 5 1 0
160 1 1 1 1 0
161 2 3 5 1 0
162 2 4 5 1 0
163 3 3 20 1 0
164 1 1 1 1 0
165 1 2 0 1 0
166 2 1 0 1 0
167 1 1 1 1 0
168 4 4 20 1 0
169 1 4 5 1 0
170 1 1 1 1 0
171 4 4 20 1 0
172 2 2 1 1 0
173 2 1 0 1 0
174 4 1 5 1 0
175 2 2 1 1 0
176 1 2 0 1 0
177 1 1 1 1 0
178 4 2 5 1 0
179 1 2 0 1 0
180 1 1 1 1 0
181 2 2 1 1 0
182 2 1 0 1 0
183 4 2 5 1 0
184 3 1 5 1 0
185 4 2 5 1 0
186 4 1 5 1 0
187 1 1 1 1 0
188 1 1 1 1 0
189 2 4 5 1 0
190 1 4 5 1 0
191 2 1 0 1 0
192 1 1 1 1 0
193 4 2 5 1 0
194 2 2 1 1 0
195 1 1 1 1 0
196 4 4 20 1 0
197 1 2 0 1 0
198 1 1 1 1 0
199 4 2 5 1 0
200 1 1 1 1 0
201 3 1 5 1 0
202 4 1 5 1 0
203 4 1 5 1 0
204 3 4 10 1 0
205 1 2 0 1 0
206 1 1 1 1 0
207 2 1 0 1 0
208 3 4 10 1 0
209 1 4 5 1 0
210 3 4 10 1 0
211 1 1 1 1 0
212 5 3 15 1 0
213 1 1 1 1 0
214 3 2 5 1 0
215 1 2 0 1 0
216 1 2 0 1 0
217 2 2 1 1 0
218 1 2 0 1 0
219 1 4 5 1 0
220 4 2 5 1 0
221 2 3 5 1 0
222 2 1 0 1 0
223 2 4 5 1 0
224 4 4 20 1 0
225 1 2 0 1 0
226 1 1 1 1 0
227 3 4 10 1 0
228 4 3 10 1 0
229 3 4 10 1 0
230 4 2 5 1 0
231 4 4 20 1 0
232 3 1 5 1 0
233 2 3 5 1 0
234 2 6 15 1 0
235 2 1 0 1 0
236 1 2 0 1 0
237 2 4 5 1 0
238 1 2 0 1 0
239 4 3 10 1 0
240 2 1 0 1 0
241 3 2 5 1 0
242 3 2 5 1 0
243 1 4 5 1 0
244 1 4 5 1 0
245 5 4 15 1 0
246 1 3 5 1 0
247 1 1 1 1 0
248 3 4 10 1 0
249 1 2 0 1 0
250 4 1 5 1 0
251 2 3 5 1 0
252 2 1 0 1 0
253 1 2 0 1 0
254 2 3 5 1 0
255 4 4 20 1 0
256 2 2 1 1 0
257 4 2 5 1 0
258 2 2 1 1 0
259 2 2 1 1 0
260 1 2 0 1 0
261 4 1 5 1 0
262 5 1 10 1 0
263 3 2 5 1 0
264 3 2 5 1 0
265 1 2 0 1 0
266 2 4 5 1 0
267 1 4 5 1 0
268 2 5 10 1 0
269 2 2 1 1 0
270 1 4 5 1 0
271 2 2 1 1 0
272 4 2 5 1 0
273 5 2 10 1 0
274 1 2 0 1 0
275 5 2 10 1 0
276 1 2 0 1 0
277 2 2 1 1 0
278 1 1 1 1 0
279 1 1 1 1 0
280 4 2 5 1 0
281 1 1 1 1 0
282 2 1 0 1 0
283 2 6 15 1 0
284 1 5 10 1 0
285 5 3 15 1 0
286 3 1 5 1 0
287 2 4 5 1 0
288 2 2 1 1 0
289 4 1 5 1 0
290 1 2 0 1 0
291 3 2 5 1 0
292 2 3 5 1 0
293 2 4 5 1 0
294 2 2 1 1 0
295 3 4 10 1 0
296 1 2 0 1 0
297 5 3 15 1 0
298 2 2 1 1 0
299 1 2 0 1 0
300 2 4 5 1 0
301 2 2 1 1 0
302 2 1 0 1 0
303 1 4 5 1 0
304 2 4 5 1 0
305 2 4 5 1 0
306 3 2 5 1 0
307 2 2 1 1 0
308 1 2 0 1 0
309 2 2 1 1 0
310 2 2 1 1 0
311 2 2 1 1 0
312 2 4 5 1 0
313 4 1 5 1 0
314 1 2 0 1 0
315 4 1 5 1 0
316 4 4 20 1 0
317 5 4 15 1 0
318 2 1 0 1 0
319 4 2 5 1 0
320 3 4 10 1 0
321 2 2 1 1 0
322 2 1 0 1 0
323 3 4 10 1 0
324 2 2 1 1 0
325 1 1 1 1 0
326 2 1 0 1 0
327 4 1 5 1 0
328 4 2 5 1 0
329 1 2 0 1 0
330 2 6 15 1 0
331 5 4 15 1 0
332 1 2 0 1 0
333 2 1 0 1 0
334 1 2 0 1 0
335 1 2 0 1 0
336 1 4 5 1 0
337 1 2 0 1 0
338 1 1 1 1 0
339 4 4 20 1 0
340 1 3 5 1 0
341 2 1 0 1 0
342 3 1 5 1 0
343 1 1 1 1 0
344 2 2 1 1 0
345 2 1 0 1 0
346 2 1 0 1 0
347 1 2 0 1 0
348 3 3 20 1 0
349 2 2 1 1 0
350 5 4 15 1 0
351 1 4 5 1 0
352 2 1 0 1 0
353 4 2 5 1 0
354 3 2 5 1 0
355 1 4 5 1 0
356 3 2 5 1 0
357 1 2 0 1 0
358 1 4 5 1 0
359 1 1 1 1 0
360 2 2 1 1 0
361 3 4 10 1 0
362 4 2 5 1 0
363 2 4 5 1 0
364 3 4 10 1 0
365 1 1 1 1 0
366 2 4 5 1 0
367 1 1 1 1 0
368 1 2 0 1 0
369 2 2 1 1 0
370 1 2 0 1 0
371 4 1 5 1 0
372 2 2 1 1 0
373 2 4 5 1 0
374 1 1 1 1 0
375 1 1 1 1 0
376 1 4 5 1 0
377 1 2 0 1 0
378 1 2 0 1 0
379 2 3 5 1 0
380 1 2 0 1 0
381 1 1 1 1 0
382 1 4 5 1 0
383 4 4 20 1 0
384 2 2 1 1 0
385 4 4 20 1 0
386 3 1 5 1 0
387 2 4 5 1 0
388 4 1 5 1 0
389 4 2 5 1 0
390 4 1 5 1 0
391 4 2 5 1 0
